Node,Color
http://sw.opencyc.org/concept/Mx4rKuU0Cp6nQdicMcnXwyF2yA,0
http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WNvmnCkRsZ2tw3ljb3JwHitL2QzGZVtB15GOvSORQMqz,0
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Accreditation,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Electronic%20records,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Requests,2
http://creationwiki.org/Special:URIResolver/Category-3ACategories,4
http://creationwiki.org/Special:URIResolver/Category-3ATransition_metal,4
http://creationwiki.org/Special:URIResolver/Category-3ARutherfordium,4
http://creationwiki.org/Special:URIResolver/Category-3AChemistry,4
http://creationwiki.org/Special:URIResolver/Category-3AElement,4
http://purl.org/obo/owl/GO#GO_0042783,0
http://purl.org/obo/owl/GO#GO_0020012,0
http://purl.org/obo/owl/GO#GO_0030682,0
http://purl.org/obo/owl/GO#GO_0051805,0
http://purl.org/obo/owl/GO#GO_0052572,0
http://creationwiki.org/Special:URIResolver/Category-3AAnimalia,4
http://creationwiki.org/Special:URIResolver/Category-3AAnimal,4
http://creationwiki.org/Special:URIResolver/Category-3AWorld_geography,4
http://creationwiki.org/Special:URIResolver/Category-3ABiology,4
http://creationwiki.org/Special:URIResolver/Category-3AOrganism,4
http://creationwiki.org/Special:URIResolver/Category-3AZoology,4
http://dbpedia.org/resource/Defunct_sport_organisations,0
http://dbpedia.org/resource/Sports_organisations,0
http://dbpedia.org/resource/Entertainment_organizations,0
http://dbpedia.org/resource/Exercise_organizations,0
http://sw.opencyc.org/concept/Mx4rvViwMZwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvVinLZwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4ryJtzbicMEdqAAAACs6hcqg,0
http://sw.opencyc.org/concept/Mx4rF6gEbsbmQdiD1rvxHjc-NA,0
http://sw.opencyc.org/concept/Mx4rvVinb5wpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rIcwFloGUQdeMlsOWYLFB2w,0
http://sw.opencyc.org/concept/Mx4rZbbuIoGbQdeH0rnP7Ube6Q,0
http://sw.opencyc.org/concept/Mx4r_0fzup0fQdiYa_OT4YKKXw,0
http://sw.opencyc.org/concept/Mx4rcsGcsHS-EdaAAACgyZzFrg,0
http://sw.opencyc.org/concept/Mx4rvViknpwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvVjVT5wpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvqsxpZwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx8Ngh4rwSrUNJwpEbGdrcN5Y29ycB4rvViJNZwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvVi255wpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvsaaeJwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvu__KJwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WKdvnCkRsZ2tw3ljb3JwHiu98at2nCkRsZ2tw3ljb3Jw,0
http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WKdvnCkRsZ2tw3ljb3JwHw2CHivA_XnfnCkRsZ2tw3ljb3JwHiu9WKdvnCkRsZ2tw3ljb3Jw,0
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#DurableGood,0
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#SolidObject,0
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#PhysicalObject,0
http://dbpedia.org/resource/Health_risks,0
http://dbpedia.org/resource/Risk,0
"http://dbpedia.org/resource/Information,_knowledge,_and_uncertainty",0
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Transferring,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Anonymisation,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Contract,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Trust%20service,2
http://sw.opencyc.org/concept/Mx8NhB4rwEmnkJwpEbGdrcN5Y29ycB4rvVj8V5wpEbGdrcN5Y29ycB4rwQr3kpwpEbGdrcN5Y29ycB4rvV0FMZwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvWW4E5wpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rGGsQIeqUEdqTjAACs6hPlA,0
http://sw.opencyc.org/concept/Mx4rvrOVYpwpEbGdrcN5Y29ycA,0
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Tiger,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Entry,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Verification,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Audit%20rails,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Codes,2
